layer	context	tissue	intervention	rank	mark	rev_beta
proteome	plasma/SGLT2i	plasma	SGLT2i	2	P08833	0.27160134
proteome	plasma/SGLT2i	plasma	SGLT2i	3	P02786	0.256719163
proteome	plasma/SGLT2i	plasma	SGLT2i	4	P35625	0.25201003
proteome	plasma/SGLT2i	plasma	SGLT2i	5	P00918	0.25138109
proteome	plasma/SGLT2i	plasma	SGLT2i	6	P01588	0.247943011
proteome	plasma/SGLT2i	plasma	SGLT2i	7	P21980	0.246001251
proteome	plasma/SGLT2i	plasma	SGLT2i	8	P13501	0.239706735
proteome	plasma/SGLT2i	plasma	SGLT2i	9	Q13541	0.230875657
proteome	plasma/SGLT2i	plasma	SGLT2i	10	P63313	0.222127352
proteome	plasma/SGLT2i	plasma	SGLT2i	11	P12532	0.213654586
proteome	plasma/SGLT2i	plasma	SGLT2i	12	P22692	0.211875513
proteome	plasma/SGLT2i	plasma	SGLT2i	13	P15090	0.206864322
proteome	plasma/SGLT2i	plasma	SGLT2i	14	Q16775	0.205960436
proteome	plasma/SGLT2i	plasma	SGLT2i	15	P55774	0.201156056
proteome	plasma/SGLT2i	plasma	SGLT2i	16	Q9Y5K6	0.198951351
proteome	plasma/SGLT2i	plasma	SGLT2i	17	P21741	0.198607553
proteome	plasma/SGLT2i	plasma	SGLT2i	18	P07108	0.196809262
proteome	plasma/SGLT2i	plasma	SGLT2i	19	P19883	0.196558206
proteome	plasma/SGLT2i	plasma	SGLT2i	20	Q02747	0.195737852
proteome	plasma/SGLT2i	plasma	SGLT2i	21	P00995	0.195148773
proteome	plasma/SGLT2i	plasma	SGLT2i	22	Q99969	0.19305537
proteome	plasma/SGLT2i	plasma	SGLT2i	23	Q99795	0.192246063
proteome	plasma/SGLT2i	plasma	SGLT2i	24	Q96KN2	0.191970084
proteome	plasma/SGLT2i	plasma	SGLT2i	25	P16422	0.190982962
