gene,meth_delta,expr_delta,expr_p,expr_sig
ALG1,-0.0018484335986026885,-0.027457333924524343,0.9140444516684599,False
ALG10,-0.0008023935832776885,-0.38759116208266964,0.21082871840560735,False
ALG11,-6.1020606138143064e-05,-0.016638110021177828,0.9460634358439066,False
ALG12,0.00038965315830909685,0.02549176031196633,0.940983522861359,False
ALG13,0.004143966855254385,-0.04466075676293851,0.8175618419129165,False
ALG14,-0.001280546677799617,-0.016697234962389382,0.9427720016835135,False
ALG2,0.0017909536907993282,0.366882566593297,0.17203516975538585,False
ALG3,0.00017011120624842911,-0.08494692840853348,0.3616885293009929,False
ALG5,0.0011843535720042302,0.14213254733860317,0.29691789043927286,False
ALG6,-0.0003527866920507023,0.28066962122514566,0.17331111527773013,False
ALG8,-0.0010317290911726047,0.39322234172312354,0.13429892071387795,False
ALKBH1,0.0011095908673094477,0.1288130091209127,0.7770728384363182,False
ALKBH2,-0.002884728741373747,-0.26486107677700754,0.0893772408651046,False
ALKBH3,-0.0006601186987061711,0.08182474114396793,0.6756421396941746,False
ALKBH4,0.0003480507428090558,0.22293561103531648,0.33337998858579704,False
ALKBH7,-0.0005080818634968657,0.0010134198090647256,0.9936617504751062,False
ALOX15,-0.004119832311200428,0.21084729292938534,0.5663794449343742,False
ALOX5,-0.0015476670472712502,-0.6248538728418093,0.04424148085511473,True
ALOX5AP,-0.004708189937261713,0.16884628367166224,0.20723830735907472,False
ALPK1,-0.0007284589268520071,-0.37533212867624394,0.282295745292628,False
ALPL,-0.00168037305406135,0.15205774648848502,0.7360425320560291,False
ALS2,-0.0022162040358153718,0.08009955393764424,0.7339094250701449,False
AMACR,-0.001542169452052326,-0.21087558299570497,0.46465666255302385,False
AMD1,0.0002049672977384874,0.09939549204159102,0.41562493576700066,False
AMDHD2,0.00012430839099020365,0.24400642394323568,0.29572107114585805,False
AMICA1,-0.007697259551096896,0.05960226756834105,0.7058892946337435,False
AMIGO2,-0.001160491309796565,0.07046266856933157,0.8188536595346049,False
AMN1,-0.004551958276305724,-0.11128336075319975,0.6022549265891245,False
AMPD2,-0.0016097425275397067,-0.8498022906182479,0.04509889948989119,True
AMPD3,-0.0009453109774095189,0.23714214800474828,0.4145928966572726,False
AMZ2,0.0003924144129661505,-0.239971306647884,0.2807126041710642,False
ANAPC1,0.0020112585559876614,0.2132008926679492,0.4257952358308683,False
ANAPC10,-0.0006183839500116898,0.05596588888892414,0.5705886776431058,False
ANAPC11,-0.0004315274302909349,0.11641248716980278,0.3398402542013644,False
ANAPC13,-0.0003214019190867098,-0.21741688479110888,0.07254631197618151,False
ANAPC15,0.00043608188542750443,0.16976348427658808,0.11346609670436347,False
ANAPC16,-0.0010339548356492023,-0.023679047439660848,0.7325341042918434,False
ANAPC2,-0.0006736947012395769,-0.20078297037734344,0.6668641899357239,False
