gene,rev2,rev5
MFNG,-0.271081081081081,-0.2391891891891889
TM6SF1,-0.9513513513513514,-1.1029729729729731
TAS2R19,0.228918918918919,0.1735135135135135
HSPB11,0.2175675675675676,0.2037837837837835
RNA5SP440,0.4594594594594596,0.7110810810810809
RNF146,0.2083783783783782,-0.0113513513513514
HCCS,-0.3875675675675676,-0.1532432432432434
GDF10,-0.3383783783783784,-0.2908108108108108
TUBA3C,-0.4210810810810811,-0.1986486486486486
CHAT,-0.1689189189189189,0.0337837837837838
UBE2Q2P12,0.3578378378378378,0.6154054054054054
SOGA1,-0.235135135135135,-0.1813513513513513
HMGCR,-0.3683783783783783,-0.4340540540540541
PDF,0.2316216216216216,0.0624324324324324
RN7SL223P,-0.1583783783783783,0.0435135135135135
MRGPRX3,0.1648648648648648,0.0362162162162162
FTLP17,-0.3002702702702702,-0.2875675675675674
WDR86,0.1118918918918919,0.1889189189189189
WBP1L,-0.4997297297297298,-0.3072972972972972
MACSL1,-0.3621621621621621,-0.4018918918918919
CEACAMP6,0.2610810810810811,0.2227027027027026
PODN,0.6937837837837841,0.3067567567567568
RBM47,-0.7972972972972973,-0.9121621621621616
BAZ2A,0.3621621621621623,0.5016216216216218
PYGM,1.2481081081081082,1.054054054054054
XPO7,-0.1267567567567567,-0.1883783783783784
CFL1P2,-0.2713513513513513,-0.0127027027027027
EIF4G1,-0.5445945945945947,-0.0799999999999997
NXT1P1,-0.2054054054054053,-0.1510810810810811
TMTC2,-0.4251351351351351,-0.5475675675675674
RN7SL285P,-0.1902702702702703,-0.0262162162162163
NAALAD2,1.4297297297297298,1.3062162162162163
PPARGC1B,-0.1805405405405405,-0.0651351351351351
THAP7,0.1891891891891892,0.1194594594594595
OSBPL11,-0.9732432432432434,-1.0016216216216214
ZNF141,0.4486486486486486,0.3378378378378378
DOLK,-0.1962162162162161,-0.1102702702702702
ADAM21P1,0.1383783783783783,0.1583783783783783
PPIAP26,-0.1881081081081081,-0.0108108108108108
FBXO18,0.1802702702702704,0.2010810810810811
NLRC4,-0.6310810810810811,-0.8002702702702701
FUT10,0.2494594594594595,0.1475675675675677
MTCO1P19,0.2281081081081081,0.2962162162162162
GNAI1,1.0194594594594593,0.9672972972972976
GAPDHP32,0.2043243243243242,0.084054054054054
WDR48,0.3754054054054057,0.2394594594594596
RNA5SP338,0.3335135135135134,0.4051351351351351
ANKHD1,0.2578378378378377,0.1891891891891891
VWA1,-0.3164864864864864,-0.2662162162162163
MTCO1P28,0.1902702702702703,0.2045945945945946
GPSM3,-0.3462162162162162,-0.3781081081081081
MYLIP,0.5456756756756758,0.0281081081081081
DEXI,-0.3218918918918918,-0.5667567567567567
SPINK5,-0.204054054054054,-0.3156756756756757
UBALD1,-0.2351351351351351,0.05
SELT,-0.3327027027027026,-0.3872972972972971
GATSL2,-0.5381081081081082,-0.3672972972972972
RBM10,0.2408108108108108,0.2021621621621622
HEATR3,-0.6375675675675675,-0.571081081081081
ZNF808,0.2908108108108106,0.1878378378378378
LRP3,-0.1294594594594593,0.012972972972973
BCRP3,-0.3543243243243244,-0.0359459459459459
YAP1,-0.5110810810810809,-0.2129729729729728
UBP1,-0.5054054054054057,-0.5602702702702703
RAB38,-0.2102702702702702,-0.3843243243243245
