gene,z2,z12
RAC3,-1.352670055035917,-1.5371940405589324
AIMP1,-1.3859858648153827,-0.3063683119990206
CFC1,1.284140514674474,0.4080997497572177
CST1,1.1434461856452396,2.0268428002753303
PCSK7,-2.6675860854926494,0.4288805156877049
CDH3,-1.362298353260964,-3.582132353614966
CST5,8.59926016531643,13.630305447981314
IL17A,-0.12218084157027695,-0.06640332161088397
KLK7,2.2137567231352495,-0.4042294498514222
KIF23,-0.1585931821359938,-0.49875640806743066
NEGR1,4.410986935897863,5.746965068350083
TFF3,-0.09568805707583884,9.688193336902417
IFNL1,-0.024417846078615763,-0.1107629128388487
PRSS27,-4.853662363692813,-14.37726867799709
FAM107A,-0.07154592049226481,0.007235704768291536
CRP,-365.01542843434873,-217.47119808708555
JAK2,0.871598229467087,83.10213060947734
GPC5,-0.1063835707675289,-0.18106618959819584
ARSB,0.9908606528187333,0.6486124899216855
SEMA5A,0.7323054419535532,1.061407653101274
TPM2,1.0549373789896692,2.1717057533298454
CD93,1.2583360914557158,10.006376646465418
CFI,-56.083997695929696,-28.683771806334427
CD33,0.08366399882239094,1.6334340251455048
FGFR4,-0.9817360335758909,-0.7130515878123505
TNFRSF11A,0.16299489845874093,0.28461531928931316
BCAM,0.05454799579106659,0.42330125973877025
CAMK2B,-0.34624499169751294,0.25875943653524075
SLC25A18,-0.1480568018038989,-0.0911136979325019
SPOCK2,0.23469980631669302,-0.329252274257522
CD86,0.19702607838684563,0.0980693060264212
PSME1,-0.42446998748163045,-0.9356636094371672
PTEN,0.34920793805804873,-0.09351053931046006
SERPINA6,-0.15030218810717755,-0.3849454014626294
TNFRSF13B,0.4150344012149921,0.02890990756855857
ECM1,7.327288242864211,-4.296719036341874
SPARC,-13.716857615380002,-32.70996525250618
PTPN11,2.6575344049347343,-3.3067398147952773
VTA1,-7.727238553516475,-18.368108423106285
MDM2,-0.032358819713276574,-0.011135020293873655
APP,-12.752494856842484,-26.669076026045882
LCMT1,0.7307068086622073,1.0421724486415809
CGA FSHB,7.5270079088515445,13.118723438197819
CASP10,-1.5206068472765812,-0.3877655568927839
PARK7,-0.13768685452679347,-0.61238076108603
TGFB3,-0.2072872602025764,0.0571394889818015
SNCA,2.1343068384639725,-11.985253545414263
FCGR2A,-2.530994185274997,0.03184298551098857
FIGF,1.9413977882794977,0.9836120665032584
GCG,2.110852917162171,2.9296646821464916
BID,0.338277374174663,0.3934029603763609
CA3,0.5363553386678236,0.5165960716957072
F7,-0.2075887376223599,0.3124133297004405
EPHA5,0.9068995563937953,0.8553676788495302
ATP5O,-2.8506332471994607,-2.644701059124671
FGG,31.885361470003975,-10.569302929338122
CFB,-30.722155008926432,-12.482880146883597
ACP5,-0.7575915867993179,2.2287542995674663
DLL4,0.2937375527569617,0.3703736292812536
CD59,0.700782437362921,1.4360696630624017
FABP1,7.839872853450121,7.345080280953819
ADRBK1,-2.378948829907667,-1.0497781461728015
CKB CKM,-0.3011584230947805,0.203590218617261
EPHB2,9.620414554021401,13.52215103354652
CST6,2.628788204472084,3.962248602325547
CNTF,-0.03311098032670255,0.007921496791863547
HAT1,-0.10475135887736925,-0.11959784925240911
KIT,22.143479984621855,16.25682958777678
FYN,-1.6805431733651215,-0.2258618873359783
MAPK12,-0.05047374380370658,-0.10018820218878885
ALDOA,-4.946018109821166,-15.704369861139707
UBB,-1.066719087356027,-1.8967376915130465
TNF,0.044798960604198086,0.07456258367190013
PDE4D,-0.05510853940039288,-1.0524878212871356
FGF9,-0.1079084771353927,-0.03465273253244212
AIF1,-1.6061811763836535,-1.0651581690857062
MEPE,-0.01534432470353336,0.045315827435158364
CAMKK1,-0.23163539419017684,-0.3239689892599171
LAMA1 LAMB1  LAMC1,-2.8002580492835767,-1.0683388392306434
PRDX6,0.0003267394756344738,-0.4939824954732928
TIE1,-4.8648965949046,-1.8895971742589643
SELE,-89.80085274035697,-54.13861101397851
MMP7,0.4112524290312188,1.9518034068193626
NCR1,2.618181747064204,2.348718478288122
LRRTM3,-0.07500874999340044,-0.0007334846314856763
GPC6,0.6703770161371521,-1.7307497391229614
PLA2G2A,-1.4795971585515508,-2.6689602105774637
INHBA,-3.890263164947337,-2.088595482065518
NGF,0.14533912520861075,0.3395804393606982
CTSG,-0.3034658568089105,0.10409048323863772
LCORL,-0.06816316864960435,-0.020843448972831614
CSF3,-0.593375449301115,-0.9504621570036481
REG1A,2.51156239613544,2.734829737820331
HIST1H3A,-11.569798209062233,-16.312941958706663
EPHA2,5.1230576222184885,5.0710988289415235
HCK,0.06271825285806155,0.07611861169892974
PIK3CA PIK3R1,-0.21146633581579818,-0.03182414570976444
SERPINA5,2.1722214563418314,55.76796308219213
PROK1,-0.04469815181080316,-0.016462206680133602
CLEC4M,-4.898672285493904,-2.8460194535634544
ERBB3,-0.16544832608075635,-0.10707752209321583
STAT1,-1.9941234881123375,-0.7084463030686754
PPP3R1,-9.196229254660146,-16.09581906435208
SIGLEC9,-9.245867183341208,-3.1361000596338036
S100A4,2.1870763364691785,-0.9342622538522862
LRIG3,1.7010699168138195,1.5774379492849109
LMNB1,-0.19443030670464187,-0.20671855598102004
SPINT1,4.758299143062019,3.419586735275708
