layer,Z
proteome,0.8152995110579323
proteome,1.659033013866344
proteome,0.463517232042514
proteome,0.0408831285043142
proteome,0.1389928728823704
proteome,0.5023889478936675
proteome,0.1264681829840201
proteome,0.2171410240799872
proteome,0.4862438871925691
proteome,0.5495201904213448
proteome,1.0724066973269897
proteome,0.1052474550127814
proteome,0.6409870442123858
proteome,0.0701316338774273
proteome,1.1710275892950943
proteome,0.5509302695535336
proteome,1.00498521194404
proteome,0.2969713571071219
proteome,1.1672114574924572
proteome,0.9261576469195169
proteome,0.9588033192121028
proteome,0.7293751893211163
proteome,0.5912687023545575
proteome,0.3598826111141984
proteome,0.169337739744319
proteome,0.5275857345890781
proteome,0.0316291369478755
proteome,0.8340208570179258
proteome,0.6836597893274117
proteome,0.4581152707947183
proteome,0.2259147281448153
proteome,0.2891622077025914
proteome,0.6255894431555498
proteome,0.0034460439277769
proteome,0.8575212086277468
proteome,0.6579120168234096
proteome,1.039925850454483
proteome,0.6084188792633239
proteome,0.0877205546201293
proteome,0.4804669191300742
proteome,0.717454289548474
proteome,0.1811142882896126
proteome,0.3953690129142467
proteome,0.0668157214124337
proteome,0.1777104713875693
proteome,0.4369099123760719
proteome,0.457422135354866
proteome,0.0436268012793295
proteome,0.4582867237070813
proteome,0.3548446029471967
proteome,0.2617616883316337
proteome,0.1135185963060468
proteome,0.1553005580670234
proteome,0.5594225291719316
proteome,0.3844533584398363
proteome,0.1335044881183553
proteome,0.1034297729010897
proteome,0.2580465292021764
proteome,0.5940923416510814
proteome,0.8144735867728495
proteome,0.4160474852620311
proteome,0.0069194405045214
proteome,0.2321912870672169
proteome,0.5720576130255832
proteome,0.6800651798090674
proteome,0.249000582265821
proteome,0.5893294126109977
proteome,0.0064675745344569
proteome,0.8301821045736197
proteome,0.5322475790363307
proteome,0.0171461090039136
proteome,0.5832241444994284
proteome,0.9354054466739392
proteome,0.1834865886758359
proteome,0.0862092505064689
proteome,0.2952701157126296
proteome,0.3384452855211848
proteome,0.2754541569721553
proteome,0.9265799042618416
proteome,0.7526541793026708
proteome,0.184008668658028
proteome,0.614799868273954
proteome,0.6515433075627232
proteome,0.9348709976654496
proteome,0.414179969207648
proteome,0.0635055974891823
proteome,0.1232199437434067
proteome,0.1348070735233206
proteome,0.4607012257107308
proteome,0.6221631615373505
proteome,0.3386079617971128
proteome,0.3921502778640336
proteome,0.5974016768758281
proteome,0.0235141566753811
proteome,0.8763958165956578
proteome,0.0062770746413075
proteome,0.0384112902254453
proteome,0.1730527897442892
proteome,0.0244499374045438
proteome,0.1715991924965123
proteome,0.456583699478669
proteome,0.0414652237822211
proteome,0.4216587815223513
proteome,0.408557767162588
proteome,0.254908920292968
proteome,0.1428250400202498
